Recipe_Name                                                                                       ,calories      ,cuisine_type        ,meal_type                 ,diet_labels                        ,ingredient_1_name                    ,ingredient_1_quantity ,ingredient_1_unit ,ingredient_2_name        ,ingredient_2_quantity ,ingredient_2_unit ,ingredient_3_name             ,ingredient_3_quantity ,ingredient_3_unit ,ingredient_4_name                      ,ingredient_4_quantity ,ingredient_4_unit ,ingredient_5_name           ,ingredient_5_quantity ,ingredient_5_unit ,ingredient_6_name          ,ingredient_6_quantity ,ingredient_6_unit ,ingredient_7_name                ,ingredient_7_quantity ,ingredient_7_unit ,ingredient_8_name                 ,ingredient_8_quantity ,ingredient_8_unit ,ingredient_9_name                          ,ingredient_9_quantity ,ingredient_9_unit ,ingredient_10_name                         ,ingredient_10_quantity ,ingredient_10_unit ,ingredient_11_name         ,ingredient_11_quantity ,ingredient_11_unit ,ingredient_12_name     ,ingredient_12_quantity ,ingredient_12_unit ,ingredient_13_name   ,ingredient_13_quantity ,ingredient_13_unit ,ingredient_14_name    ,ingredient_14_quantity ,ingredient_14_unit ,ingredient_15_name    ,ingredient_15_quantity ,ingredient_15_unit ,ENERC_KCAL ,FAT     ,FASAT  ,FATRN ,FAMS   ,FAPU   ,CHOCDF  ,FIBTG  ,SUGAR  ,PROCNT  ,CHOLE   ,NA       ,CA       ,MG      ,K        ,FE     ,ZN     ,P        ,VITA_RAE ,VITC    ,VITD   ,TOCPHA ,VITK1    ,WATER
Strawberry & Yogurt Parfait                                                                       ,  305.839     ,french              ,breakfast                 ,"High-Fiber, Low-Sodium"           ,strawberries                         ,          1           ,cup               ,sugar                    ,          1           ,teaspoon          ,nonfat plain Greek yogurt     ,          0.5         ,cup               ,granola                                ,          0.25        ,cup               ,                            ,                      ,                  ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   305.839 ,  8.487 , 1.406 ,0.016 , 3.505 , 2.657 , 38.716 , 6.035 ,23.143 , 20.387 ,  7.4   ,  62.912 , 212.582 , 89.1   , 627.139 , 1.991 , 2.274 , 371.095 ,   3.445 , 97.974 , 0     , 3.882 ,   5.269 ,278.79
Weekday Avocado Toast                                                                             ,  436.3825    ,american            ,breakfast                 ,                                   ,sourdough bread                      ,          1           ,slice             ,guacamole                ,          2           ,tablespoon        ,seasoning                     ,          0.5         ,teaspoon          ,                                       ,                      ,                  ,                            ,                      ,                  ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   436.383 ,  9.02  , 0.76  ,0.007 , 0.512 , 1.203 , 74.5   , 3.143 , 6.435 , 16.017 ,  0     , 958.316 ,  79.75  , 46.16  , 326.427 , 5.7   , 1.469 , 147.233 ,   0.99  ,  0.09  , 0     , 0.302 ,   7.011 , 45.94
Baked Apple Cinnamon Oatmeal Recipe                                                               , 2033.610199  ,american            ,breakfast                 ,High-Fiber                         ,old fashioned oats                   ,          2           ,cup               ,light brown sugar        ,          0.25        ,cup               ,baking powder                 ,          1           ,teaspoon          ,cinnamon                               ,          2           ,teaspoon          ,salt                        ,          0.5         ,teaspoon          ,egg                        ,          1           ,<unit>            ,maple syrup                      ,          0.25        ,cup               ,milk                              ,          1.5         ,cup               ,unsalted butter                            ,          1.5         ,tablespoon        ,vanilla extract                            ,           1           ,teaspoon           ,apple sauce                ,           4           ,ounce              ,walnuts                ,           0.5         ,cup                ,Granny Smith apples  ,           2           ,<unit>             ,                      ,                       ,                   ,                      ,                       ,                   ,   338.935 , 13.881 , 4.051 ,0.003 , 2.991 , 5.584 , 48.247 , 5.459 ,25.006 ,  8.326 , 40.393 , 296.658 , 183.242 ,102.121 , 354.262 , 2.015 , 1.717 , 307.233 ,  67.135 ,  4.166 , 0.936 , 0.536 ,   3.477 ,133.928
Pumpkin Spice Pancakes                                                                            , 1126.754958  ,american            ,breakfast                 ,Balanced                           ,all-purpose flour                    ,          0.75        ,cup               ,whole wheat flour        ,          0.5         ,cup               ,brown sugar                   ,          2           ,tablespoon        ,baking powder                          ,          2           ,teaspoon          ,salt                        ,          0.25        ,teaspoon          ,ground cinnamon            ,          0.75        ,teaspoon          ,grated nutmeg                    ,          0.25        ,teaspoon          ,ground ginger                     ,          1           ,pinch             ,ground cloves                              ,          1           ,pinch             ,milk                                       ,           1           ,cup                ,canned pumpkin             ,           0.5         ,cup                ,egg                    ,           1           ,<unit>             ,vegetable oil        ,           2           ,tablespoon         ,                      ,                       ,                   ,                      ,                       ,                   ,   187.792 ,  7.171 , 1.408 ,0.039 , 4.006 , 1.2   , 26.445 , 2.289 , 5.778 ,  5.364 , 30.727 , 240.811 , 180.017 , 28.092 , 164.95  , 1.738 , 0.658 , 260.755 , 189.071 ,  0.873 , 0.672 , 1.454 ,   3.781 , 62.739
Cheese Danish                                                                                     , 5734.760721  ,nordic              ,breakfast                 ,                                   ,water                                ,         80           ,milliliter        ,granulated sugar         ,         90           ,gram              ,granulated sugar              ,          0.5         ,teaspoon          ,yeast                                  ,          7           ,gram              ,bread flour                 ,          4.5         ,cup               ,table salt                 ,          9           ,gram              ,egg                              ,          1           ,<unit>            ,butter                            ,        255           ,gram              ,whole milk                                 ,        240           ,milliliter        ,All-purpose flour                          ,           0           ,                   ,cream cheese               ,           8           ,ounce              ,egg yolk               ,          18           ,gram               ,powdered sugar       ,           0.25        ,cup                ,lemon juice           ,                  0.5  ,teaspoon           ,vanilla extract       ,           0.25        ,teaspoon           ,   286.738 , 15.903 , 9.282 ,0.135 , 4.442 , 0.936 , 30.234 , 0.855 , 7.008 ,  5.888 , 68.423 , 196.113 ,  37.129 , 11.278 ,  77.579 , 1.537 , 0.496 ,  71.96  , 139.259 ,  0.05  , 0.309 , 0.603 ,   1.285 , 31.598
Healthier Banana Nut Muffins                                                                      , 2818.13605   ,american            ,breakfast                 ,Low-Sodium                         ,avocado                              ,          1           ,<unit>            ,eggs                     ,          2           ,<unit>            ,Quick Bread Mix               ,         12.30000019  ,ounce             ,milk                                   ,          0.75        ,cup               ,powdered sugar              ,          2           ,cup               ,butter                     ,          1           ,tablespoon        ,almond extract                   ,          0.25        ,teaspoon          ,milk                              ,          3           ,tablespoon        ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   156.563 ,  3.147 , 1.021 ,0.002 , 1.557 , 0.343 , 28.741 , 1.31  ,14.883 ,  3.44  , 20.736 , 129.605 ,  63.214 ,  5.101 ,  78.014 , 1.168 , 0.182 ,  26.1   ,  19.649 ,  1.117 , 0.26  , 0.308 ,   2.453 , 23.163
Cream Cheese and Smoked Salmon Bagel                                                              ,  637.2887258 ,nordic              ,lunch/dinner              ,                                   ,cream cheese                         ,          2           ,tablespoon        ,fresh dill               ,          1           ,teaspoon          ,lemon rind                    ,          0.5         ,teaspoon          ,bagel                                  ,          4           ,ounce             ,salmon                      ,          4           ,ounce             ,                           ,                      ,                  ,                                 ,                      ,                  ,                                  ,                      ,                  ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   318.644 , 13.337 , 4.863 ,0.182 , 3.651 , 2.719 , 30.597 , 0.962 , 5.346 , 18.479 , 45.829 , 318.339 , 144.202 , 33.182 , 287.11  , 2.243 , 0.749 , 207.846 ,  77.918 ,  2.935 , 6.237 , 6.369 ,   0.701 , 64.077
Breakfast Burritos                                                                                , 1048.314102  ,mexican             ,lunch/dinner              ,Low-Carb                           ,sausage                              ,          6           ,ounce             ,olive oil                ,          1           ,tablespoon        ,summer squash                 ,          1           ,<unit>            ,onion                                  ,          0.5         ,<unit>            ,bell pepper                 ,          1           ,<unit>            ,savory                     ,          0.5         ,teaspoon          ,pepper                           ,          0           ,                  ,egg                               ,          4           ,<unit>            ,milk                                       ,          0.5         ,cup               ,salt                                       ,           0           ,                   ,cheese                     ,           0           ,                   ,tomato                 ,           1           ,<unit>             ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   174.719 , 12.86  , 3.779 ,0.04  , 5.664 , 2.163 ,  5.9   , 1.376 , 3.932 ,  9.564 ,128.518 , 380.5   ,  56.781 , 22.236 , 352.442 , 1.179 , 1.223 , 137.992 , 106.321 , 34.578 , 1.235 , 1.39  ,   6.002 ,133.719
Lemon Blueberry Waffles                                                                           , 1293.643     ,american            ,breakfast                 ,"High-Fiber, Low-Fat"              ,spelt flour                          ,          1.5         ,cup               ,almond Milk              ,          1.5         ,cup               ,eggs                          ,          2           ,<unit>            ,baking powder                          ,          0.5         ,teaspoon          ,baking soda                 ,          0.5         ,teaspoon          ,vanilla                    ,          0.5         ,teaspoon          ,ground cinnamon                  ,          1           ,teaspoon          ,lemon                             ,          1           ,<unit>            ,lemon                                      ,          1           ,half              ,blueberries                                ,           1           ,cup                ,maple syrup                ,           2           ,tablespoon         ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   323.411 ,  4.841 , 1.277 ,0.009 , 3.713 , 2.335 , 62.399 , 9.522 ,15.045 , 13.379 , 79.98  , 304.81  , 275.535 ,104.857 , 435.077 , 3.991 , 2.716 , 410.657 ,  47.498 , 18.454 , 0.43  , 3.131 ,   9.757 ,168.744
"Maple-, Pecan-, and Bacon-Stuffed French Toast Recipe"                                           , 4260.575514  ,french              ,breakfast                 ,                                   ,pecans                               ,          0.75        ,cup               ,bacon                    ,          1           ,pound             ,half and half                 ,          0.5         ,cup               ,milk                                   ,          0.5         ,cup               ,maple syrup                 ,          0.5         ,cup               ,Salt                       ,          0           ,                  ,eggs                             ,          6           ,<unit>            ,bread                             ,         12           ,slice             ,                                           ,                      ,                  ,                                           ,                       ,                   ,                           ,                       ,                   ,                       ,                       ,                   ,                     ,                       ,                   ,                      ,                       ,                   ,                      ,                       ,                   ,   710.096 , 46.67  ,13.838 ,0.24  ,19.835 , 8.944 , 49.01  , 3.508 ,21.979 , 24.398 ,218.947 , 927.341 , 181.108 , 63.304 , 452.921 , 3.486 , 3.12  , 356.496 , 106.402 ,  0.434 , 1.427 , 1.125 ,   3.727 ,131.595
