sku    ,item_title                                                              ,category_hierarchy                                                                                                                                                                                                                                                                   ,primary_image                                      ,primary_image_meta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,sales_size ,sales_uom_description ,price_range                                                                                                                                                ,retail_price ,fun_tags                                                                                                                                                              ,item_characteristics                                          ,__typename
091113 ,Sweet Chilli Sauce                                                      ,"[{'id': 2, 'name': 'Products', '__typename': 'CategoryTree'}, {'id': 8, 'name': 'Food', '__typename': 'CategoryTree'}, {'id': 59, 'name': 'Dips, Sauces & Dressings', '__typename': 'CategoryTree'}, {'id': 62, 'name': 'Condiments', '__typename': 'CategoryTree'}]"               ,/content/dam/trjo/products/m20401/91113.png        ,"{'url': '/content/dam/trjo/products/m20401/91113.png', 'metadata': '{""src"":""/content/dam/trjo/products/m20401/91113.png/jcr:content/renditions/cq5dam.web.1280.1280"",""srcSet"":[{""src"":""/content/dam/trjo/products/m20401/91113.png/jcr:content/renditions/webp-640.webp"",""media"":""(max-width: 847px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20401/91113.png/jcr:content/renditions/webp-1280.webp"",""media"":""(min-width: 848px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20401/91113.png/jcr:content/renditions/cq5dam.web.640.640"",""media"":""(max-width: 847px)"",""type"":""image/png""},{""src"":""/content/dam/trjo/products/m20401/91113.png/jcr:content/renditions/cq5dam.web.1280.1280"",""media"":""(min-width: 848px)"",""type"":""image/png""}],""alt"":""Trader Joe\'s Sweet Chili Sauce"",""srcOriginal"":""/content/dam/trjo/products/m20401/91113.png""}', '__typename': 'ImageWithMeta'}"                                                                  ,     10.1  ,Fl Oz                 ,"{'minimum_price': {'final_price': {'currency': 'USD', 'value': 1.69, '__typename': 'Money'}, '__typename': 'ProductPrice'}, '__typename': 'PriceRange'}"  ,        1.69 ,"['A Long Finish', 'Pour It On']"                                                                                                                                     ,                                                              ,SimpleProduct
079482 ,Butter with Brown Sugar & Maple Syrup                                   ,"[{'id': 2, 'name': 'Products', '__typename': 'CategoryTree'}, {'id': 8, 'name': 'Food', '__typename': 'CategoryTree'}, {'id': 44, 'name': 'Dairy & Eggs', '__typename': 'CategoryTree'}, {'id': 50, 'name': 'Butter', '__typename': 'CategoryTree'}]"                               ,/content/dam/trjo/products/m20302/79482.png        ,"{'url': '/content/dam/trjo/products/m20302/79482.png', 'metadata': '{""src"":""/content/dam/trjo/products/m20302/79482.png/jcr:content/renditions/cq5dam.web.1280.1280"",""srcSet"":[{""src"":""/content/dam/trjo/products/m20302/79482.png/jcr:content/renditions/webp-640.webp"",""media"":""(max-width: 847px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20302/79482.png/jcr:content/renditions/webp-1280.webp"",""media"":""(min-width: 848px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20302/79482.png/jcr:content/renditions/cq5dam.web.640.640"",""media"":""(max-width: 847px)"",""type"":""image/png""},{""src"":""/content/dam/trjo/products/m20302/79482.png/jcr:content/renditions/cq5dam.web.1280.1280"",""media"":""(min-width: 848px)"",""type"":""image/png""}],""alt"":""Trader Joe\'s Butter with Brown Sugar & Maple Syrup"",""srcOriginal"":""/content/dam/trjo/products/m20302/79482.png""}', '__typename': 'ImageWithMeta'}"                                              ,      4.0  ,Oz                    ,"{'minimum_price': {'final_price': {'currency': 'USD', 'value': 2.99, '__typename': 'Money'}, '__typename': 'ProductPrice'}, '__typename': 'PriceRange'}"  ,        2.99 ,"['Brunch All Day', 'Fall Faves', 'Gild The Lily', ""Let's Bake!"", 'Rain or Shine', 'The ""X"" Factor']"                                                             ,                                                              ,SimpleProduct
078400 ,Walnut Gouda Cheese                                                     ,"[{'id': 2, 'name': 'Products', '__typename': 'CategoryTree'}, {'id': 8, 'name': 'Food', '__typename': 'CategoryTree'}, {'id': 29, 'name': 'Cheese', '__typename': 'CategoryTree'}, {'id': 38, 'name': 'Wedges, Wheels, Loaves, Logs', '__typename': 'CategoryTree'}]"               ,/content/dam/trjo/products/m20203/78400.png        ,"{'url': '/content/dam/trjo/products/m20203/78400.png', 'metadata': '{""src"":""/content/dam/trjo/products/m20203/78400.png/jcr:content/renditions/cq5dam.web.1280.1280"",""srcSet"":[{""src"":""/content/dam/trjo/products/m20203/78400.png/jcr:content/renditions/webp-640.webp"",""media"":""(max-width: 847px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20203/78400.png/jcr:content/renditions/webp-1280.webp"",""media"":""(min-width: 848px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20203/78400.png/jcr:content/renditions/cq5dam.web.640.640"",""media"":""(max-width: 847px)"",""type"":""image/png""},{""src"":""/content/dam/trjo/products/m20203/78400.png/jcr:content/renditions/cq5dam.web.1280.1280"",""media"":""(min-width: 848px)"",""type"":""image/png""}],""alt"":""Trader Joe\'s Walnut Gouda Cheese"",""srcOriginal"":""/content/dam/trjo/products/m20203/78400.png""}', '__typename': 'ImageWithMeta'}"                                                                ,      6.0  ,Oz                    ,"{'minimum_price': {'final_price': {'currency': 'USD', 'value': 5.49, '__typename': 'Money'}, '__typename': 'ProductPrice'}, '__typename': 'PriceRange'}"  ,        5.49 ,"['Cheese Board', 'Cut The Mustard', 'Effortless Entertaining', 'Game Night', 'Picnic']"                                                                              ,                                                              ,SimpleProduct
079110 ,Organic Fig & Honey Batard                                              ,"[{'id': 2, 'name': 'Products', '__typename': 'CategoryTree'}, {'id': 8, 'name': 'Food', '__typename': 'CategoryTree'}, {'id': 11, 'name': 'Bakery', '__typename': 'CategoryTree'}, {'id': 17, 'name': 'Loaves, Rolls, Buns', '__typename': 'CategoryTree'}]"                        ,/content/dam/trjo/products/m20102/79110.png        ,"{'url': '/content/dam/trjo/products/m20102/79110.png', 'metadata': '{""src"":""/content/dam/trjo/products/m20102/79110.png/jcr:content/renditions/cq5dam.web.1280.1280"",""srcSet"":[{""src"":""/content/dam/trjo/products/m20102/79110.png/jcr:content/renditions/webp-640.webp"",""media"":""(max-width: 847px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20102/79110.png/jcr:content/renditions/webp-1280.webp"",""media"":""(min-width: 848px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20102/79110.png/jcr:content/renditions/cq5dam.web.640.640"",""media"":""(max-width: 847px)"",""type"":""image/png""},{""src"":""/content/dam/trjo/products/m20102/79110.png/jcr:content/renditions/cq5dam.web.1280.1280"",""media"":""(min-width: 848px)"",""type"":""image/png""}],""alt"":""Trader Joe\'s Organic Fig & Honey Batard"",""srcOriginal"":""/content/dam/trjo/products/m20102/79110.png""}', '__typename': 'ImageWithMeta'}"                                                         ,     11.64 ,Oz                    ,"{'minimum_price': {'final_price': {'currency': 'USD', 'value': 4.99, '__typename': 'Money'}, '__typename': 'ProductPrice'}, '__typename': 'PriceRange'}"  ,        4.99 ,"['Alfresco Dining', 'Date Night', 'Effortless Entertaining', 'Feeling Fancy', 'Pair With Wine']"                                                                     ,['Organic']                                                   ,SimpleProduct
079464 ,Organic Turkey Bone Broth                                               ,"[{'id': 2, 'name': 'Products', '__typename': 'CategoryTree'}, {'id': 8, 'name': 'Food', '__typename': 'CategoryTree'}, {'id': 137, 'name': 'For the Pantry', '__typename': 'CategoryTree'}, {'id': 152, 'name': 'For Baking & Cooking', '__typename': 'CategoryTree'}]"             ,/content/dam/trjo/products/m20905/79464.png        ,"{'url': '/content/dam/trjo/products/m20905/79464.png', 'metadata': '{""src"":""/content/dam/trjo/products/m20905/79464.png/jcr:content/renditions/cq5dam.web.1280.1280"",""srcSet"":[{""src"":""/content/dam/trjo/products/m20905/79464.png/jcr:content/renditions/webp-640.webp"",""media"":""(max-width: 847px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20905/79464.png/jcr:content/renditions/webp-1280.webp"",""media"":""(min-width: 848px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20905/79464.png/jcr:content/renditions/cq5dam.web.640.640"",""media"":""(max-width: 847px)"",""type"":""image/png""},{""src"":""/content/dam/trjo/products/m20905/79464.png/jcr:content/renditions/cq5dam.web.1280.1280"",""media"":""(min-width: 848px)"",""type"":""image/png""}],""alt"":""Trader Joe\'s Organic Turkey Bone Broth"",""srcOriginal"":""/content/dam/trjo/products/m20905/79464.png""}', '__typename': 'ImageWithMeta'}"                                                          ,     17.0  ,Fl Oz                 ,"{'minimum_price': {'final_price': {'currency': 'USD', 'value': 3.49, '__typename': 'Money'}, '__typename': 'ProductPrice'}, '__typename': 'PriceRange'}"  ,        3.49 ,"['Fall Faves', ""Let's Bake!"", 'Pour It On', 'The ""X"" Factor']"                                                                                                   ,['Organic']                                                   ,SimpleProduct
078275 ,Teriyaki Chicken Bowl                                                   ,"[{'id': 2, 'name': 'Products', '__typename': 'CategoryTree'}, {'id': 8, 'name': 'Food', '__typename': 'CategoryTree'}, {'id': 95, 'name': 'From The Freezer', '__typename': 'CategoryTree'}, {'id': 101, 'name': 'Entrées & Sides', '__typename': 'CategoryTree'}]"                 ,/content/dam/trjo/products/m20602/78275.png        ,"{'url': '/content/dam/trjo/products/m20602/78275.png', 'metadata': '{""src"":""/content/dam/trjo/products/m20602/78275.png/jcr:content/renditions/cq5dam.web.1280.1280"",""srcSet"":[{""src"":""/content/dam/trjo/products/m20602/78275.png/jcr:content/renditions/webp-640.webp"",""media"":""(max-width: 847px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20602/78275.png/jcr:content/renditions/webp-1280.webp"",""media"":""(min-width: 848px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20602/78275.png/jcr:content/renditions/cq5dam.web.640.640"",""media"":""(max-width: 847px)"",""type"":""image/png""},{""src"":""/content/dam/trjo/products/m20602/78275.png/jcr:content/renditions/cq5dam.web.1280.1280"",""media"":""(min-width: 848px)"",""type"":""image/png""}],""alt"":""Trader Joe\'s Teriyaki Chicken Bowl"",""srcOriginal"":""/content/dam/trjo/products/m20602/78275.png""}', '__typename': 'ImageWithMeta'}"                                                              ,     11.25 ,Oz                    ,"{'minimum_price': {'final_price': {'currency': 'USD', 'value': 4.79, '__typename': 'Money'}, '__typename': 'ProductPrice'}, '__typename': 'PriceRange'}"  ,        4.79 ,"['Alfresco Dining', 'Dinner Hack']"                                                                                                                                  ,                                                              ,SimpleProduct
076535 ,Roti with Thai Red Curry                                                ,"[{'id': 2, 'name': 'Products', '__typename': 'CategoryTree'}, {'id': 8, 'name': 'Food', '__typename': 'CategoryTree'}, {'id': 95, 'name': 'From The Freezer', '__typename': 'CategoryTree'}, {'id': 101, 'name': 'Entrées & Sides', '__typename': 'CategoryTree'}]"                 ,/content/dam/trjo/products/m20602/76535.png        ,"{'url': '/content/dam/trjo/products/m20602/76535.png', 'metadata': '{""src"":""/content/dam/trjo/products/m20602/76535.png/jcr:content/renditions/cq5dam.web.1280.1280"",""srcSet"":[{""src"":""/content/dam/trjo/products/m20602/76535.png/jcr:content/renditions/webp-640.webp"",""media"":""(max-width: 847px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20602/76535.png/jcr:content/renditions/webp-1280.webp"",""media"":""(min-width: 848px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20602/76535.png/jcr:content/renditions/cq5dam.web.640.640"",""media"":""(max-width: 847px)"",""type"":""image/png""},{""src"":""/content/dam/trjo/products/m20602/76535.png/jcr:content/renditions/cq5dam.web.1280.1280"",""media"":""(min-width: 848px)"",""type"":""image/png""}],""alt"":""Trader Joe\'s Roti with Thai Red Curry"",""srcOriginal"":""/content/dam/trjo/products/m20602/76535.png""}', '__typename': 'ImageWithMeta'}"                                                           ,     10.57 ,Oz                    ,"{'minimum_price': {'final_price': {'currency': 'USD', 'value': 4.29, '__typename': 'Money'}, '__typename': 'ProductPrice'}, '__typename': 'PriceRange'}"  ,        4.29 ,"['Crack a Beer', 'Dinner Hack', 'Feeling Adventurous', 'In Lieu of Pizza', 'Mouth On Fire']"                                                                         ,['Vegan']                                                     ,SimpleProduct
079708 ,Sourdough Boules                                                        ,"[{'id': 2, 'name': 'Products', '__typename': 'CategoryTree'}, {'id': 8, 'name': 'Food', '__typename': 'CategoryTree'}, {'id': 11, 'name': 'Bakery', '__typename': 'CategoryTree'}, {'id': 17, 'name': 'Loaves, Rolls, Buns', '__typename': 'CategoryTree'}]"                        ,/content/dam/trjo/products/m20102/79708.png        ,"{'url': '/content/dam/trjo/products/m20102/79708.png', 'metadata': '{""src"":""/content/dam/trjo/products/m20102/79708.png/jcr:content/renditions/cq5dam.web.1280.1280"",""srcSet"":[{""src"":""/content/dam/trjo/products/m20102/79708.png/jcr:content/renditions/webp-640.webp"",""media"":""(max-width: 847px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20102/79708.png/jcr:content/renditions/webp-1280.webp"",""media"":""(min-width: 848px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20102/79708.png/jcr:content/renditions/cq5dam.web.640.640"",""media"":""(max-width: 847px)"",""type"":""image/png""},{""src"":""/content/dam/trjo/products/m20102/79708.png/jcr:content/renditions/cq5dam.web.1280.1280"",""media"":""(min-width: 848px)"",""type"":""image/png""}],""alt"":""Trader Joe\'s Sourdough Boules"",""srcOriginal"":""/content/dam/trjo/products/m20102/79708.png""}', '__typename': 'ImageWithMeta'}"                                                                   ,     14.0  ,Oz                    ,"{'minimum_price': {'final_price': {'currency': 'USD', 'value': 2.99, '__typename': 'Money'}, '__typename': 'ProductPrice'}, '__typename': 'PriceRange'}"  ,        2.99 ,                                                                                                                                                                      ,                                                              ,SimpleProduct
175918 ,Rainbow's End Trail Mix Bars                                            ,"[{'id': 2, 'name': 'Products', '__typename': 'CategoryTree'}, {'id': 8, 'name': 'Food', '__typename': 'CategoryTree'}, {'id': 167, 'name': 'Snacks & Sweets', '__typename': 'CategoryTree'}, {'id': 179, 'name': 'Bars, Jerky &… Surprises', '__typename': 'CategoryTree'}]"        ,/content/dam/trjo/products/m21004/75918.png        ,"{'url': '/content/dam/trjo/products/m21004/75918.png', 'metadata': '{""src"":""/content/dam/trjo/products/m21004/75918.png/jcr:content/renditions/cq5dam.web.1280.1280"",""srcSet"":[{""src"":""/content/dam/trjo/products/m21004/75918.png/jcr:content/renditions/webp-640.webp"",""media"":""(max-width: 847px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m21004/75918.png/jcr:content/renditions/webp-1280.webp"",""media"":""(min-width: 848px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m21004/75918.png/jcr:content/renditions/cq5dam.web.640.640"",""media"":""(max-width: 847px)"",""type"":""image/png""},{""src"":""/content/dam/trjo/products/m21004/75918.png/jcr:content/renditions/cq5dam.web.1280.1280"",""media"":""(min-width: 848px)"",""type"":""image/png""}],""alt"":""Trader Joe\'s Rainbow\'s End Trail Mix Bars"",""srcOriginal"":""/content/dam/trjo/products/m21004/75918.png""}', '__typename': 'ImageWithMeta'}"                                                      ,      1.41 ,Oz                    ,"{'minimum_price': {'final_price': {'currency': 'USD', 'value': 4.99, '__typename': 'Money'}, '__typename': 'ProductPrice'}, '__typename': 'PriceRange'}"  ,        4.99 ,"['Backpack Ready', 'Desk Drawer', 'Family Style', 'Midday Snacks']"                                                                                                  ,['Kosher']                                                    ,SimpleProduct
033700 ,Mushroom Risotto                                                        ,"[{'id': 2, 'name': 'Products', '__typename': 'CategoryTree'}, {'id': 8, 'name': 'Food', '__typename': 'CategoryTree'}, {'id': 95, 'name': 'From The Freezer', '__typename': 'CategoryTree'}, {'id': 101, 'name': 'Entrées & Sides', '__typename': 'CategoryTree'}]"                 ,/content/dam/trjo/products/m20602/33700.png        ,"{'url': '/content/dam/trjo/products/m20602/33700.png', 'metadata': '{""src"":""/content/dam/trjo/products/m20602/33700.png/jcr:content/renditions/cq5dam.web.1280.1280"",""srcSet"":[{""src"":""/content/dam/trjo/products/m20602/33700.png/jcr:content/renditions/webp-640.webp"",""media"":""(max-width: 847px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20602/33700.png/jcr:content/renditions/webp-1280.webp"",""media"":""(min-width: 848px)"",""type"":""image/webp""},{""src"":""/content/dam/trjo/products/m20602/33700.png/jcr:content/renditions/cq5dam.web.640.640"",""media"":""(max-width: 847px)"",""type"":""image/png""},{""src"":""/content/dam/trjo/products/m20602/33700.png/jcr:content/renditions/cq5dam.web.1280.1280"",""media"":""(min-width: 848px)"",""type"":""image/png""}],""alt"":""Trader Joe\'s Mushroom Risotto"",""srcOriginal"":""/content/dam/trjo/products/m20602/33700.png""}', '__typename': 'ImageWithMeta'}"                                                                   ,     16.0  ,Oz                    ,"{'minimum_price': {'final_price': {'currency': 'USD', 'value': 3.79, '__typename': 'Money'}, '__typename': 'ProductPrice'}, '__typename': 'PriceRange'}"  ,        3.79 ,"['Alfresco Dining', 'Date Night', 'Dinner Hack', 'Pair With Wine']"                                                                                                  ,                                                              ,SimpleProduct
